epoch,train-rmse-E,train-rmse-F,train-loss,test-rmse-E,test-rmse-F,test-loss
121.0,0.009094222,0.08881565,0.02952163,0.0080881,0.08541061,0.02819423
122.0,0.008990916,0.08843153,0.02937431,0.007857906,0.08506916,0.0280254
123.0,0.008801204,0.08800069,0.02918687,0.007590673,0.08495106,0.0279157
124.0,0.008649849,0.08772475,0.02905827,0.007501043,0.08475665,0.02783226
125.0,0.008431276,0.08745758,0.02891313,0.007390132,0.08474377,0.02779865
126.0,0.008339321,0.08714169,0.02879083,0.007470117,0.08450884,0.02774846
127.0,0.008362521,0.08679113,0.02869149,0.007615858,0.08408741,0.02765991
128.0,0.008423972,0.08631428,0.02856534,0.007703296,0.08357537,0.02752862
129.0,0.008451309,0.08572184,0.02839451,0.007647981,0.08286994,0.02729898
130.0,0.008460844,0.08513597,0.02822055,0.007353489,0.08238505,0.02707034
131.0,0.008321428,0.08466331,0.02803629,0.007119436,0.08185685,0.02684661
132.0,0.008287183,0.08428896,0.02791308,0.006954316,0.08160507,0.02672641
133.0,0.008281625,0.0838224,0.02777057,0.006986103,0.08141155,0.02667564
134.0,0.008267572,0.08333414,0.02761903,0.006991089,0.08132781,0.02665139
135.0,0.008167693,0.08245241,0.02732309,0.007045028,0.08132075,0.02666344
136.0,0.008374701,0.08165729,0.0271464,0.007442476,0.08151175,0.02682922
137.0,0.00892228,0.08118535,0.02717928,0.007740159,0.08162137,0.02694652
138.0,0.008337833,0.08132298,0.02703446,0.007285174,0.08146293,0.02677115
139.0,0.008272384,0.08110105,0.02694755,0.007216125,0.0811438,0.02665528
140.0,0.00819022,0.08060034,0.02677165,0.007381266,0.08085261,0.02661198
141.0,0.008064961,0.08012807,0.02659125,0.007184648,0.08064604,0.02649524
142.0,0.00803449,0.07956803,0.02641326,0.007219522,0.08061196,0.02649435
143.0,0.007975747,0.07939602,0.0263436,0.00698886,0.08058069,0.02642289
144.0,0.00796788,0.07873999,0.02614356,0.007120987,0.0798644,0.02624006
145.0,0.00798889,0.07848496,0.02607319,0.007184561,0.07946171,0.02613493
146.0,0.008048072,0.07798399,0.02594074,0.007257724,0.07848983,0.02586001
147.0,0.008338921,0.07803994,0.0260492,0.007638993,0.07848982,0.02596959
148.0,0.00805855,0.07777238,0.02588039,0.007294646,0.07831056,0.02581601
149.0,0.008053814,0.07735566,0.02575371,0.007256405,0.07737586,0.02552171
150.0,0.007989866,0.07697143,0.02561832,0.007112242,0.07656805,0.0252359
151.0,0.00790406,0.07664093,0.0254923,0.006969417,0.07605615,0.0250405
152.0,0.007788597,0.076389,0.0253809,0.006737844,0.07624815,0.02503551
153.0,0.007629998,0.0761841,0.0252709,0.006544323,0.0761816,0.02496381
154.0,0.007563407,0.07595178,0.02518079,0.006463392,0.07630497,0.0249804
155.0,0.007542099,0.07575729,0.02511573,0.006478347,0.07632221,0.02498954
156.0,0.0075891,0.07537873,0.02501579,0.006613601,0.07581945,0.02487164
157.0,0.007472451,0.07527967,0.02495076,0.006619742,0.07573044,0.02484615
158.0,0.007464076,0.07517132,0.02491556,0.006611361,0.07538425,0.0247384
159.0,0.007429048,0.07503355,0.02486351,0.006568761,0.07495197,0.02459529
160.0,0.007512202,0.07480075,0.02481831,0.006726546,0.07459562,0.02452951
161.0,0.007417809,0.07463067,0.02473858,0.006599208,0.07427757,0.02439806
162.0,0.007388708,0.07440854,0.02466285,0.006560101,0.07415879,0.02435133
163.0,0.007368621,0.07418366,0.02458898,0.006569297,0.07408603,0.02433166
164.0,0.007480606,0.07382619,0.0245151,0.006594623,0.07354683,0.02417442
165.0,0.007400327,0.07356882,0.02441315,0.006633017,0.07345436,0.02415681
166.0,0.007412312,0.07338459,0.02436128,0.00665347,0.07323491,0.02409572
167.0,0.007395179,0.07315271,0.02428622,0.006590119,0.07299944,0.0240067
168.0,0.007323433,0.07274973,0.02414301,0.006440633,0.07266918,0.02386551
169.0,0.007203763,0.07243366,0.02401161,0.006202458,0.07265279,0.02379734
170.0,0.007177847,0.07207436,0.02389545,0.006198266,0.07222638,0.02366608
171.0,0.007146405,0.07185721,0.02382052,0.006177067,0.07185214,0.02354632
172.0,0.007164052,0.07160896,0.02375096,0.006195049,0.07134194,0.02339542
173.0,0.007208857,0.0713731,0.02369345,0.006236638,0.07095917,0.02328983
174.0,0.007302039,0.07096357,0.02359878,0.006237344,0.07021471,0.02306328
175.0,0.007332189,0.07078758,0.02355524,0.006249828,0.06975238,0.02292596
