epoch,train-rmse-E,train-rmse-F,train-loss,test-rmse-E,test-rmse-F,test-loss
154.0,0.04828084,0.3357377,0.116632,0.05248411,0.3313011,0.1171777
155.0,0.04798203,0.3352698,0.1163738,0.05234379,0.3312724,0.1171068
156.0,0.04783956,0.3345648,0.1161119,0.05235224,0.3307597,0.1169656
157.0,0.04764109,0.333865,0.1158286,0.05212626,0.3303131,0.1167382
158.0,0.04765969,0.3333312,0.1156824,0.05213362,0.3300065,0.1166548
159.0,0.04767145,0.3324855,0.1154436,0.05209608,0.329518,0.1164998
160.0,0.04752798,0.3317182,0.1151634,0.0520181,0.3293943,0.11643
161.0,0.04735492,0.3308086,0.11483,0.05177476,0.3289516,0.1161961
162.0,0.04713784,0.3291922,0.1142748,0.05131929,0.3286403,0.1159056
163.0,0.04686121,0.3287278,0.1140271,0.05093401,0.3280577,0.1155702
164.0,0.04670984,0.3283514,0.1138564,0.05072291,0.3277078,0.1153779
165.0,0.04665272,0.3278564,0.1136902,0.05052756,0.3273344,0.115186
166.0,0.04648216,0.327722,0.1135815,0.05049111,0.3273734,0.1151811
167.0,0.04633812,0.3273699,0.113421,0.05028465,0.3271559,0.1150289
168.0,0.04615372,0.3270051,0.1132404,0.05008642,0.3271743,0.1149476
169.0,0.04603684,0.3268538,0.1131492,0.05000378,0.3271878,0.1149155
170.0,0.04578976,0.3262463,0.1128732,0.04976144,0.3270909,0.1147826
171.0,0.04555171,0.3258075,0.11265,0.04954926,0.3269252,0.1146435
172.0,0.04554021,0.325239,0.1124809,0.04950176,0.3264294,0.1144816
173.0,0.04562114,0.3244743,0.1122927,0.04952834,0.325861,0.1143311
174.0,0.0456724,0.3236605,0.1120785,0.04963459,0.3255357,0.1142845
175.0,0.04561739,0.3228996,0.1118363,0.04972305,0.3255913,0.1143388
176.0,0.04547693,0.3225341,0.1116735,0.04963137,0.3253718,0.1142364
177.0,0.04537628,0.3222312,0.1115451,0.04953862,0.3249937,0.1140884
